,price,time_since_posting,imgurl,url
691590831,3000,0,https://images.craigslist.org/01111_2H3xdhi4f8e_600x450.jpg,https://losangeles.craigslist.org/lgb/fuo/d/manhattan-beach-couch-set-with-coffee/6915908316.html
691361399,135,3,https://images.craigslist.org/00808_72LRusB1Ocx_600x450.jpg,https://losangeles.craigslist.org/sfv/fuo/d/burbank-lounger-bench-chaise-chair/6913613995.html
690910457,100,9,https://images.craigslist.org/00d0d_5RjYfog45lf_600x450.jpg,https://losangeles.craigslist.org/sfv/fuo/d/burbank-vintage-couch-chairs/6909104573.html
691581434,399,0,https://images.craigslist.org/00c0c_b4Q3hJeNswV_600x450.jpg,https://losangeles.craigslist.org/lac/fuo/d/sofa-couch-sectional-sofa-couch-ottoman/6915814340.html
691581461,199,0,https://images.craigslist.org/01212_ein2THvoKci_600x450.jpg,https://losangeles.craigslist.org/lac/fuo/d/brown-futon-sofa-bed-couch-sofa-bed/6915814613.html
691589562,350,0,https://images.craigslist.org/00r0r_6CuyTwtWifh_600x450.jpg,https://losangeles.craigslist.org/lac/fuo/d/los-angeles-vintage-mid-century-sofa/6915895624.html
691589541,375,0,https://images.craigslist.org/00y0y_16uix3NoSwQ_600x450.jpg,https://losangeles.craigslist.org/wst/fuo/d/los-angeles-reversible-gray-couch/6915895418.html
690386017,195,16,https://images.craigslist.org/00b0b_gToSHH6LCuN_600x450.jpg,https://losangeles.craigslist.org/sfv/fuo/d/burbank-vintage-1980s-style-paint/6903860177.html
690461636,50,15,https://images.craigslist.org/00q0q_e9whE9FgNKo_600x450.jpg,https://losangeles.craigslist.org/lgb/fuo/d/long-beach-couch-bed/6904616363.html
691580325,219,0,https://images.craigslist.org/00f0f_b91aEe2usw0_600x450.jpg,https://losangeles.craigslist.org/lac/fuo/d/futon-sofa-bed-couch-sofa-bed-couch/6915803252.html
691059083,125,7,https://images.craigslist.org/01515_rZ3yAXimJs_600x450.jpg,https://orangecounty.craigslist.org/fuo/d/huntington-beach-couch-sleeper/6910590835.html
691585930,60,0,https://images.craigslist.org/01414_c60ewY25SsJ_600x450.jpg,https://losangeles.craigslist.org/sfv/fuo/d/north-hollywood-large-couch-light-brown/6915859304.html
691580345,249,0,https://images.craigslist.org/00q0q_5BtZUgwKQ2U_600x450.jpg,https://losangeles.craigslist.org/lac/fuo/d/sectional-sofa-bed-couch-futon-sofa-bed/6915803459.html
689865062,20,23,https://images.craigslist.org/00y0y_2TbtYgeye2e_600x450.jpg,https://losangeles.craigslist.org/sfv/fuo/d/sherman-oaks-mid-century-modern-couch/6898650626.html
691586799,500,0,https://images.craigslist.org/00B0B_38muhBC4if0_600x450.jpg,https://losangeles.craigslist.org/sfv/fuo/d/sherman-oaks-blue-couch-for-sale-like/6915867995.html
691586387,350,0,https://images.craigslist.org/00X0X_55bANjOLQ5r_600x450.jpg,https://losangeles.craigslist.org/lac/fuo/d/los-angeles-grey-couch-96-long/6915863874.html
691580465,359,0,https://images.craigslist.org/00w0w_jiCNk8XaaXA_600x450.jpg,https://losangeles.craigslist.org/lac/fuo/d/sofa-bed-couch-sectional-sofa-bed-couch/6915804654.html
691585816,200,0,https://images.craigslist.org/00a0a_5NlkN9UQY6u_600x450.jpg,https://orangecounty.craigslist.org/fuo/d/huntington-beach-brown-recliner-chair/6915858166.html
690713959,199,12,https://images.craigslist.org/00a0a_h7QDPISiEuC_600x450.jpg,https://losangeles.craigslist.org/sfv/fuo/d/woodland-hills-couch-in-excellent/6907139592.html
691584207,275,0,https://images.craigslist.org/00b0b_lCrlzDeNNxT_600x450.jpg,https://orangecounty.craigslist.org/fuo/d/orange-leatherette-couch-fabric-couch/6915842073.html
691583600,85,0,https://images.craigslist.org/00f0f_7HzWPtG7FW_600x450.jpg,https://losangeles.craigslist.org/lgb/fuo/d/long-beach-couch/6915836005.html
691583616,4500,0,https://images.craigslist.org/00000_emgZIiJab7v_600x450.jpg,https://losangeles.craigslist.org/wst/fuo/d/los-angeles-beautiful-roche-bobois/6915836167.html
691214766,30,5,https://images.craigslist.org/01212_5QmVrXId3SF_600x450.jpg,https://losangeles.craigslist.org/lac/fuo/d/los-angeles-two-17-17real-leather-couch/6912147666.html
691580378,299,0,https://images.craigslist.org/00m0m_3eRwWMzXVEx_600x450.jpg,https://losangeles.craigslist.org/lac/fuo/d/los-angeles-sectional-sofa-bed-couch/6915803784.html
691582648,90,0,https://images.craigslist.org/00M0M_lir6X3RSPR4_600x450.jpg,https://losangeles.craigslist.org/wst/fuo/d/culver-city-tan-beige-couch-for-sale/6915826487.html
691580431,229,0,https://images.craigslist.org/00F0F_ki3bT3Xvgo7_600x450.jpg,https://losangeles.craigslist.org/lac/fuo/d/los-angeles-futon-sofa-bed-couch-sofa/6915804319.html
691169831,220,6,https://images.craigslist.org/00O0O_f1AazireFUR_600x450.jpg,https://losangeles.craigslist.org/lac/fuo/d/los-angeles-modern-5-couch-sofa-new/6911698317.html
691169895,250,6,https://images.craigslist.org/01414_cMh0m0jyJWa_600x450.jpg,https://losangeles.craigslist.org/lac/fuo/d/los-angeles-original-mid-century-1950s/6911698959.html
691170155,220,6,https://images.craigslist.org/00i0i_ai8sAHNv6wt_600x450.jpg,https://losangeles.craigslist.org/lac/fuo/d/los-angeles-new-modern-5-couch-sofa-new/6911701557.html
689739854,349,25,https://images.craigslist.org/00J0J_j22oFr5v4YF_600x450.jpg,https://orangecounty.craigslist.org/fuo/d/huntington-beach-rv-trailer-villa/6897398541.html
691090084,150,7,https://images.craigslist.org/00V0V_kWegwamXFBU_600x450.jpg,https://losangeles.craigslist.org/sgv/fuo/d/covina-couch-and-loveseat/6910900845.html
691580475,950,0,https://images.craigslist.org/01616_asMBKChTddn_600x450.jpg,https://losangeles.craigslist.org/lac/fuo/d/los-angeles-ruby-red-vintage-couch/6915804754.html
691580173,250,0,https://images.craigslist.org/00s0s_4yk1QI5XD7q_600x450.jpg,https://losangeles.craigslist.org/sgv/fuo/d/san-dimas-like-new-sectional-couch/6915801733.html
691579831,500,0,https://images.craigslist.org/00J0J_c3z6Wvg1pxM_600x450.jpg,https://losangeles.craigslist.org/lac/fuo/d/los-angeles-grey-velvet-chesterfield/6915798312.html
690303384,520,17,https://images.craigslist.org/01717_6q8TqthIsTp_600x450.jpg,https://orangecounty.craigslist.org/fuo/d/anaheim-2-pc-sofa-set-in-grey-color/6903033840.html
